word,reading,furigana
１０００円,せんえん,{１０００円|せん|えん}
１１日,じゅういちにち,{１１日|じゅう|いち|にち}
１１月,じゅういちがつ,{１１月|じゅう|いち|がつ}
１１０番,ひゃくとおばん,{１１０番|ひゃく|とお|ばん}
１１９番,ひゃくじゅうきゅうばん,{１１９番|ひゃく|じゅう|きゅう|ばん}
１２日,じゅうににち,{１２日|じゅう|に|にち}
１２月,じゅうにがつ,{１２月|じゅう|に|がつ}
１３日,じゅうさんにち,{１３日|じゅう|さん|にち}
１４日,じゅうよっか,{１４日|じゅう|よっか}
１５日,じゅうごにち,{１５日|じゅう|ご|にち}
１６日,じゅうろくにち,{１６日|じゅう|ろく|にち}
１７日,じゅうしちにち,{１７日|じゅう|しち|にち}
１８日,じゅうはちにち,{１８日|じゅう|はち|にち}
１８０度,ひゃくはちじゅうど,{１８０度|ひゃく|はち|じゅう|ど}
１９日,じゅうくにち,{１９日|じゅう|く|にち}
２日,ふつか,{２日|ふつか}
２０日,はつか,{２０日|はつか}
２０歳,はたち,{２０歳|はたち}
２１日,にじゅういちにち,{２１日|に|じゅう|いち|にち}
２２日,にじゅうににち,{２２日|に|じゅう|に|にち}
２３日,にじゅうさんにち,{２３日|に|じゅう|さん|にち}
２４日,にじゅうよっか,{２４日|に|じゅう|よっか}
２５日,にじゅうごにち,{２５日|に|じゅう|ご|にち}
２６日,にじゅうろくにち,{２６日|に|じゅう|ろく|にち}
２７日,にじゅうしちにち,{２７日|に|じゅう|しち|にち}
２８日,にじゅうはちにち,{２８日|に|じゅう|はち|にち}
２９日,にじゅうくにち,{２９日|に|じゅう|く|にち}
３０日,さんじゅうにち,{３０日|さん|じゅう|にち}
３１日,さんじゅういちにち,{３１日|さん|じゅう|いち|にち}
３８度線,さんじゅうはちどせん,{３８度線|さん|じゅう|はち|ど|せん}
